_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,4>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Hidden_act_m[2:0,0]<2:4,4>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Output_act_m[2:0,0]<2:3,4>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]
_D:	0	0	363	"G_H"	""	2	50	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0.000186332	0	0.844791	0	0	0	0	3.79089e-07	0.873516	0.000926548	0.0518754	0.000196361	0.499638	0	0.806998	0	0.431776	0.0772348	0.176846	0.0206887	0.0720476	0.388668	0	0.892734	0	0	0.130552	0
_D:	0	0	364	"H_I"	""	2	50	0.932629	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0.744798	0	0	0.000151725	0	0	0.185296	0.795688	0	3.94452e-07	0.898109	0.0915857	0.000341171	0.828591	0	0	0.0466665	0	5.42208e-05	0.53579	0.0840306	0.000194814	0.803467	0.000260221	0.938984	0.0262551	0	0.0101659
_D:	0	0	365	"I_G"	""	2	50	0.606541	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0.0624561	0.791358	0.541549	0.00211138	0	0.642273	0.000971837	0.0178576	0	0	0.264809	0.86566	0.0807361	0	0	8.06846e-08	0.778807	0.44014	0.314046	0	0	0	0.76087	0	0	8.22767e-05	0	0
_D:	0	0	366	"G_H"	""	2	50	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0.000150719	0	0.849034	0	0	0	0	5.41011e-07	0.868492	0.000960831	0.0554741	2.38124e-05	0.468891	0	0.80519	0	0.411928	0.0503659	0.185568	0.0225792	0.0804917	0.369563	0	0.895394	0	0	0.155145	0
_D:	0	0	367	"H_I"	""	2	50	0.661103	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0.753704	0	0	0.000146979	0	0	0.018318	0.800853	0	3.30341e-06	0.903077	0.131411	2.94441e-05	0.82602	0	0	0.0361675	0	0.000143528	0.428548	0.114219	0.00049536	0.813082	0.000604171	0.939498	0.0230549	0	0.0167459
_D:	0	0	368	"I_J"	""	2	50	2.89795	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0.00735687	0.861687	0.149162	0.000411247	0	0.696166	8.89649e-05	0.00174767	0	0	0.820232	0.850418	0.00277801	0	0	0	0.832352	0.582074	0.000723524	0	0	0	0.930768	0	0	0	0.000465157	0
_D:	0	0	369	"J_K"	""	2	50	1.15342	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0.592423	0.016545	0.631327	0.0486483	0.91007	0.16215	3.13874e-09	0.755399	0	0.490758	0	3.17323e-06	0.0016178	2.42045e-05	0.00745989	0	0.598614	0.891674	0.00234312	0.000355214	0.00363804	0.0763833	0	0.00207987	0.863097	0.00294025
_D:	0	0	370	"K_L"	""	2	50	0.800279	0	0	0	0	0	0	0	0	0	0	0	0.95	0	3.84548e-05	0.76182	3.69467e-05	0	0.712919	0.000124825	0	0	0	0.815722	0.428256	0	0	0	0.0005712	0.81478	0.585651	0.00622944	0.0787948	0	0.0083148	7.76799e-05	0.676234	0	0.0392018	0	0.0329286	0.895048
_D:	0	0	371	"L_J"	""	2	50	2.49294	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0.00259234	0.892154	0	0.618754	0.00337649	0.0076495	0	0	0.475543	0	0.902408	0	1.39698e-05	0	0.122703	0.188504	0.768511	0.0801557	0.0152195	0.00259292	0	0	0.949911	0	0	0	0.000390317	0.453487
_D:	0	0	372	"J_K"	""	2	50	1.19888	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0.69318	0	0.631094	3.44769e-07	0.845251	0.67918	0.483489	0	0	0.0249961	0	0	0.626337	0	0	2.37412e-05	0.0133035	0	0.602692	0.00262518	0.0179767	0.00132318	0.0025969	0.0850738	4.4403e-05	0.914135	0.853472	0.000523844
